slug,car_autohome_brand_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
dazhong,1,30.0,5.0,大众,,http://www.ganji.com/dazhong/,,7876.0,",dazhong,大众,dazhong",,,,13aa0d1b8820217b6a6fbbb2309de636.png,,D,1,,,13aa0d1b8820217b6a6fbbb2309de636.png?imageView2/1/w/80/h/80/,dazhong,Y,,0,B,1,0,,德系
toyota,3,38.0,5.0,丰田,,http://www.ganji.com/toyota/,,7884.0,",fengtian,丰田,fengtian",,,,600989f1e1d0be8f9895fa9752fb01c4.png,,F,1,,,600989f1e1d0be8f9895fa9752fb01c4.png?imageView2/1/w/80/h/80/,fengtian,Y,,0,B,1,0,,日系
ford,8,39.0,5.0,福特,,http://www.ganji.com/ford/,,7885.0,",fute,福特,fute",,,,fb9921728320d941d7dbd1d2d8136d9f.png,,F,1,,,fb9921728320d941d7dbd1d2d8136d9f.png?imageView2/1/w/80/h/80/,fute,Y,,0,B,1,0,,美系
chrysler,9,77.0,5.0,克莱斯勒,,http://www.ganji.com/chrysler/,,7923.0,",kelaisile,克莱斯勒,kelaisile",,,,b010f5c97014a1caced463141abe9133.png,,K,1,,,b010f5c97014a1caced463141abe9133.png?imageView2/1/w/80/h/80/,kelaisile,Y,,0,B,1,0,,美系
renault,10,87.0,5.0,雷诺,,http://www.ganji.com/renault/,,7933.0,",leinuo,雷诺,leinuo",,,,f9d84f37444c0276b64ed5040814c25e.png,,L,1,,,f9d84f37444c0276b64ed5040814c25e.png?imageView2/1/w/80/h/80/,leinuo,Y,,0,B,1,0,,法系
fiat,11,42.0,5.0,菲亚特,,http://www.ganji.com/fiat/,,7888.0,",feiyate,菲亚特,feiyate",,,,1580b705cf363bb0a91ba21103cf9241.png,,F,1,,,1580b705cf363bb0a91ba21103cf9241.png?imageView2/1/w/80/h/80/,feiyate,Y,,0,B,1,0,,欧系
hyundai,12,129.0,5.0,现代,,http://www.ganji.com/hyundai/,,7975.0,",xiandai,现代,xiandai",,,,272b157fbd303d0e284232600ed7b577.png,,X,1,,,272b157fbd303d0e284232600ed7b577.png?imageView2/1/w/80/h/80/,xiandai,Y,,0,B,1,0,,韩系
biaozhi,13,14.0,5.0,标致,,http://www.ganji.com/biaozhi/,,7860.0,",biaozhi,标致,biaozhi",,,,19680040c004d2067e3c904f8a15d67e.png,,B,1,,,19680040c004d2067e3c904f8a15d67e.png?imageView2/1/w/80/h/80/,biaozhi,Y,,0,B,1,0,,法系
car_autohome_brand_14,14,7680.0,,本田,,,,,",bentian,本田,bentian",,,,44b947ba4fd3ad2f950c01194e68bb0e.png,,B,1,,,44b947ba4fd3ad2f950c01194e68bb0e.png?imageView2/1/w/80/h/80/,bentian,Y,,0,B,1,0,,日系
bmw,15,9.0,5.0,宝马,,http://www.ganji.com/bmw/,,7855.0,",baoma,宝马,baoma",,,,d635e28ad9d8b1325d2ac9b1e7b1c2da.png,,B,1,,,d635e28ad9d8b1325d2ac9b1e7b1c2da.png?imageView2/1/w/80/h/80/,baoma,Y,,0,B,1,0,,德系
rongwei,19,109.0,5.0,荣威,,http://www.ganji.com/rongwei/,,7955.0,",rongwei,荣威,rongwei",,,,69a6b4738362eb64b83bcc91628bda90.png,,R,1,,,69a6b4738362eb64b83bcc91628bda90.png?imageView2/1/w/80/h/80/,rongwei,Y,,0,B,1,0,,国产
mg,20,93.0,5.0,名爵,,http://www.ganji.com/mg/,,7939.0,",mingjue,名爵,mingjue",,,,07ac092537ce7e826f32437a99b0246f.png,,M,1,,,07ac092537ce7e826f32437a99b0246f.png?imageView2/1/w/80/h/80/,mingjue,Y,,0,B,1,0,,国产
huachen-zhonghua,22,63.0,5.0,中华,,http://www.ganji.com/huachen-zhonghua/,,7909.0,",zhonghua,中华,zhonghua",,,,b7bbe0d3bcd7191f98d02a4fc26edf6c.jpg,,Z,1,,,b7bbe0d3bcd7191f98d02a4fc26edf6c.jpg?imageView2/1/w/80/h/80/,zhonghua,Y,,0,B,1,0,,国产
hafei,24,52.0,5.0,哈飞,,http://www.ganji.com/hafei/,,7898.0,",hafei,哈飞,hafei",,,,880814c2dd0a83ee437b543a494da85d.png,,H,1,,,eece063537518b95c6b80b022556ed05.png?imageView2/1/w/80/h/80/,hafei,Y,,0,B,1,0,,国产
car_autohome_brand_25,25,7681.0,,吉利汽车,,,,,",jiliqiche,吉利汽车,jiliqiche",,,,cb9e3e8a57499f9b181568779d046fb0.png,,J,1,,,cb9e3e8a57499f9b181568779d046fb0.png?imageView2/1/w/80/h/80/,jiliqiche,Y,,0,B,1,0,,国产
chery,26,105.0,5.0,奇瑞,,http://www.ganji.com/chery/,,7951.0,",qirui,奇瑞,qirui",,,,5c574cca779f4ae7bfb5f46808468b13.png,,Q,1,,,5c574cca779f4ae7bfb5f46808468b13.png?imageView2/1/w/80/h/80/,qirui,Y,,0,B,1,0,,国产
car_autohome_brand_27,27,7682.0,,北京,,,,,",beijing,北京,beijing",,,,,,B,1,,,,beijing,Y,,0,B,1,0,,国产
car_autohome_brand_32,32,7683.0,,东风,,,,,",dongfeng,东风,dongfeng",,,,e6230c2d10f0206b92446c3376f787ec.png,,D,1,,,321ad8dc4b1b92b702c313a64faa0c15.png?imageView2/1/w/80/h/80/,dongfeng,Y,,0,B,1,0,,国产
audi,33,1.0,5.0,奥迪,,http://www.ganji.com/audi/,,7847.0,",aodi,奥迪,aodi",,,,531912ec472bd0568ddc05ca43eb71ac.png,,A,1,,,531912ec472bd0568ddc05ca43eb71ac.png?imageView2/1/w/80/h/80/,aodi,Y,,0,B,1,0,,德系
alfaromeo,34,2.0,5.0,阿尔法・罗密欧,,http://www.ganji.com/alfaromeo/,,7848.0,",aerfa・luomiou,阿尔法・罗密欧,aerfa・luomiou",,,,590ae329607ce6a295c3334210514576.png,,A,1,,,590ae329607ce6a295c3334210514576.png?imageView2/1/w/80/h/80/,aerfa・luomiou,Y,,0,B,1,0,,欧系
