slug,car_autohome_model_id,id,source_id,name,alias,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
car_autohome_model_15,15,3217.0,,宝来/宝来经典,,,dazhong,,",baolai/baolaijingdian,宝来/宝来经典,baolai/baolaijingdian",紧凑型车,,,e177142e7747d56512d963f9734be510.png,一汽-大众,B,1,,,e177142e7747d56512d963f9734be510.png?imageView2/1/w/160/h/80/,baolai/baolaijingdian,Y,国产,0,B,1,0,宝来/宝来经典,
jetta,16,448.0,6.0,捷达,,http://www.ganji.com/jetta/,dazhong,8294.0,",jieda,捷达,jieda",紧凑型车,http://www.taoche.com/buycar/cc/7/,,4d383fbcd9826bca31218f7dd2fce7bed2859f74.jpg,一汽-大众,J,1,10.8,compact_car,4d383fbcd9826bca31218f7dd2fce7bed2859f74.jpg?imageView2/1/w/160/h/80/,jieda,Y,合资,0,B,1,0,捷达,
turui-hunhe,82,480.0,6.0,途锐,,http://www.ganji.com/turui-hunhe/,dazhong,8326.0,",turui,途锐,turui",中大型SUV,,,1e836635a445d96e74b896f050b18bfbdf40d68a.jpg,大众(进口),T,1,87.0,large_suv,1e836635a445d96e74b896f050b18bfbdf40d68a.jpg?imageView2/1/w/160/h/80/,turui,Y,进口,0,B,1,0,途锐,
xialang,86,460.0,6.0,夏朗,,http://www.ganji.com/xialang/,dazhong,8306.0,",xialang,夏朗,xialang",MPV,http://www.taoche.com/buycar/cc/5/,,913c6e25eff9a70519965af2c03a03b0585f0493.jpg,大众(进口),X,1,34.9,mpv,913c6e25eff9a70519965af2c03a03b0585f0493.jpg?imageView2/1/w/160/h/80/,xialang,Y,进口,0,B,1,0,夏朗,
gaoer,144,464.0,6.0,高尔,,http://www.ganji.com/gaoer/,dazhong,8310.0,",gaoer,高尔,gaoer",小型车,http://www.taoche.com/buycar/cc/4/,,004c0b7552af708641607fd4dc6ba94c.jpg,上汽大众,G,1,8.3,small_car,004c0b7552af708641607fd4dc6ba94c.jpg?imageView2/1/w/160/h/80/,gaoer,Y,合资,0,B,1,0,高尔,
dazhong-polo,145,1251.0,1.0,Polo,,www.baixing.com/ershouqiche/m9690/,dazhong,,",Polo,Polo,Polo",小型车,http://www.taoche.com/buycar/cc/4/,,661a58b2b56f09e1641081d658eb35a5f0d763cf.jpg,上汽大众,P,1,11.2,small_car,661a58b2b56f09e1641081d658eb35a5f0d763cf.jpg?imageView2/1/w/160/h/80/,Polo,Y,合资,0,B,1,0,Polo,
car_autohome_model_149,149,3218.0,,桑塔纳经典,,,dazhong,,",sangtanajingdian,桑塔纳经典,sangtanajingdian",中型车,,,7443a4379eff541fc00d435837295011.png,上汽大众,S,1,,,7443a4379eff541fc00d435837295011.png?imageView2/1/w/160/h/80/,sangtanajingdian,Y,国产,0,B,1,0,桑塔纳经典,
car_autohome_model_207,207,3219.0,,桑塔纳志俊,,,dazhong,,",sangtanazhijun,桑塔纳志俊,sangtanazhijun",中型车,,,c09c33d56522495174cde8ea117692fd.png,上汽大众,S,1,,,c09c33d56522495174cde8ea117692fd.png?imageView2/1/w/160/h/80/,sangtanazhijun,Y,国产,0,B,1,0,桑塔纳志俊,
jiakechong,210,454.0,6.0,甲壳虫,,http://www.ganji.com/jiakechong/,dazhong,8300.0,",jiakechong,甲壳虫,jiakechong",紧凑型车,http://www.taoche.com/buycar/cc/7/,,26c7cbc462b523db9bbd719d601f53f8011a4d5e.jpg,大众(进口),J,1,28.2,compact_car,26c7cbc462b523db9bbd719d601f53f8011a4d5e.jpg?imageView2/1/w/160/h/80/,jiakechong,Y,进口,0,B,1,0,甲壳虫,
huiteng,224,453.0,6.0,辉腾,,http://www.ganji.com/huiteng/,dazhong,8299.0,",huiteng,辉腾,huiteng",大型车,http://www.taoche.com/buycar/cc/1/,,c34a159d1e5007ae7941cab09d7f37ef13010380.jpg,大众(进口),H,1,122.6,luxury_car,c34a159d1e5007ae7941cab09d7f37ef13010380.jpg?imageView2/1/w/160/h/80/,huiteng,Y,进口,0,B,1,0,辉腾,
dazhong-tuan,333,470.0,6.0,途安,,http://www.ganji.com/dazhong-tuan/,dazhong,8316.0,",tuan,途安,tuan",MPV,http://www.taoche.com/buycar/cc/5/,,02a1ed2b9e6c0a310abf6c87aaf8d88684b34e65.jpg,上汽大众,T,1,19.6,mpv,02a1ed2b9e6c0a310abf6c87aaf8d88684b34e65.jpg?imageView2/1/w/160/h/80/,tuan,Y,合资,0,B,1,0,途安,
kaidi,360,1259.0,1.0,开迪,,www.baixing.com/ershouqiche/m10419/,dazhong,,",kaidi,开迪,kaidi",MPV,http://www.taoche.com/buycar/cc/5/,,kaidi.jpg,一汽-大众,K,1,14.6,mpv,kaidi.jpg?imageView2/1/w/160/h/80/,kaidi,Y,合资,0,B,1,0,开迪,
passat-jinkou,368,1254.0,1.0,Passat,R36,www.baixing.com/ershouqiche/m10245/,dazhong,,",Passat,Passat,Passat",中型车,http://www.taoche.com/buycar/cc/6/,,dazhongPassat(jinkou).jpg,大众(进口),P,1,33.5,mid_car,dazhongPassat(jinkou).jpg?imageView2/1/w/160/h/80/,Passat,Y,进口,0,B,1,0,Passat,
golf-jinkou,372,1256.0,1.0,高尔夫(进口),,www.baixing.com/ershouqiche/m10340/,dazhong,,",gaoerfu(jinkou),高尔夫(进口),gaoerfu(jinkou)",紧凑型车,http://www.taoche.com/buycar/cc/7/,,b039fa0655833e897986d7df2f7f4f9f57156f89.jpg,大众(进口),G,1,35.5,compact_car,b039fa0655833e897986d7df2f7f4f9f57156f89.jpg?imageView2/1/w/160/h/80/,gaoerfu(jinkou),Y,进口,0,B,1,0,高尔夫(进口),
dazhong-eos,430,451.0,6.0,大众Eos,,http://www.ganji.com/dazhong-eos/,dazhong,8297.0,",dazhongEos,大众Eos,dazhongEos",跑车,http://www.taoche.com/buycar/cc/9/,,8943fe5f7849f91166fdba6a565654cedd743d9f.jpg,大众(进口),D,1,44.6,sc,8943fe5f7849f91166fdba6a565654cedd743d9f.jpg?imageView2/1/w/160/h/80/,dazhongEos,Y,进口,0,B,1,0,大众Eos,
suteng,442,473.0,6.0,速腾,,http://www.ganji.com/suteng/,dazhong,8319.0,",suteng,速腾,suteng",紧凑型车,http://www.taoche.com/buycar/cc/7/,,fdbf1bfc1a75e55629d94e4fb4c5f3b0a18860bd.jpg,一汽-大众,S,1,16.1,compact_car,fdbf1bfc1a75e55629d94e4fb4c5f3b0a18860bd.jpg?imageView2/1/w/160/h/80/,suteng,Y,合资,0,B,1,0,速腾,
maiteng,496,455.0,6.0,迈腾,,http://www.ganji.com/maiteng/,dazhong,8301.0,",maiteng,迈腾,maiteng",中型车,http://www.taoche.com/buycar/cc/6/,,8e76f818618f448734ce419d7eaf6b19f8a422d6.jpg,一汽-大众,M,1,23.8,mid_car,8e76f818618f448734ce419d7eaf6b19f8a422d6.jpg?imageView2/1/w/160/h/80/,maiteng,Y,合资,0,B,1,0,迈腾,
passat,528,457.0,6.0,帕萨特,,http://www.ganji.com/passat/,dazhong,8303.0,",pasate,帕萨特,pasate",中型车,http://www.taoche.com/buycar/cc/6/,,9bebd30697fb5d21bc1a8c60097df032ef8f14b3.jpg,上汽大众,P,1,22.8,mid_car,9bebd30697fb5d21bc1a8c60097df032ef8f14b3.jpg?imageView2/1/w/160/h/80/,pasate,Y,合资,0,B,1,0,帕萨特,
maitengjinkou,539,1489.0,2224.0,迈腾(进口),,http://www.che168.com/china/dazhong/maitengjinkou/,dazhong,,",maiteng(jinkou),迈腾(进口),maiteng(jinkou)",中型车,,,05cccc0069dc79d52f00958dcb29f52e.jpg,大众(进口),M,1,38.2,mid_car,05cccc0069dc79d52f00958dcb29f52e.jpg?imageView2/1/w/160/h/80/,maiteng(jinkou),Y,进口,0,B,1,0,迈腾(进口),
tiguan,557,458.0,6.0,Tiguan,,http://www.ganji.com/tiguan/,dazhong,8304.0,",Tiguan,Tiguan,Tiguan",紧凑型SUV,http://www.taoche.com/buycar/cc/8/,,0d91b81b67fb6e4745c25de3f99dd2f4013ad21a.jpg,大众(进口),T,1,37.9,compact_suv,0d91b81b67fb6e4745c25de3f99dd2f4013ad21a.jpg?imageView2/1/w/160/h/80/,Tiguan,Y,进口,0,B,1,0,Tiguan,
