domain,name,type,user,price_category
51auto.com,51汽车,1,人人车及车商车源,商家零售价
baixing.com,百姓网,0,类似58,商家和个人
che168.com,二手车之家,2,车商车源,商家零售价
cn2che.com,中国二手车城,0,车商车源及个人车源,商家零售价
ganji.com,赶集网,1,车商车源及个人车源,商家零售价
hx2car.com,华夏二手车,2,车商车源,商家零售价
iautos.cn,第一车网,1,车商车源,商家零售价
taoche.com,淘车网,1,车商车源,商家零售价
used.xcar.com.cn,爱卡汽车,0,车商个人以及平台车源,商家零售价
58.com,58同城,0,车商个人以及平台车源,商家零售价
273.cn,273二手车,1,个人车源及车商车源,商家零售价
souche.com,大搜车,2,车商车源,商家零售价
2sc.sohu.com,搜狐二手车,1,车商个人以及平台车源,商家零售价
youche.com,优车诚品,1,车商个人以及平台车源,商家零售价
renrenche.com,人人车,2,平台车源 ,商家零售价
haoche51.com,好车无忧,2,平台车源 ,商家零售价
99haoche.com,99好车,0,车商车源 ,商家零售价
guazi.com,瓜子二手车,2,平台车源 ,商家零售价
xin.com,优信二手车,2,平台车源 ,商家零售价
ygche.com.cn,阳光车网,0,,
chemao.com.cn,车猫,2,平台车源 ,商家零售价
hao.autohome.com.cn,家家好车,0,,
kanche.com,看车网,1,,
che101.com,车101,0,车商车源 ,商家零售价
carking001.com,车王,1,车商车源 ,商家零售价
akd.cn,澳康达,1,车商车源 ,商家零售价
zhuo.com,卓杰行,1,车商车源 ,商家零售价
bucar.com,百优卡,1,车商车源 ,商家零售价
jcjp.com.cn,佳成精品,1,车商车源 ,商家零售价
cdhp2car.com,和平二手车,1,车商车源 ,商家零售价
myw2sc.cn,蚂蚁王,1,车商车源 ,商家零售价
jiayouhaoche.com,家有好车,1,车商车源 ,商家零售价
jh100.com,捷和二手车,1,车商车源 ,商家零售价
ucrz.com.cn,UC认证二手车,1,车商车源 ,商家零售价
cheyide.com.cn,车易得,1,车商车源 ,商家零售价
cheok.com,备胎好车,1,车商车源 ,商家零售价
wintop2sc.com,运通行,1,车商车源 ,商家零售价
bmw.com.cn,宝马,1,车商车源 ,商家零售价
faw-vw.com,一汽大众,1,车商车源 ,商家零售价
starelite.com.cn,星睿,1,车商车源 ,商家零售价
chezhibao.com,车置宝,2,个人车源,车商批发价
ttpai.cn,天天拍车,2,个人车源,车商批发价
cheyipai.com,车易拍,1,个人车源,车商批发价
appadmin.gongpingjia.com,公平家客户端,1,车商车源 ,商家零售价
