id,source_id,name,alias,slug,url,parent,checker_runtime_id,keywords,classified,classified_url,slug_global,logo_img,mum,first_letter,has_detailmodel,starting_price,classified_slug,thumbnail,pinyin,status,attribute,units,popular,on_sale,score,normalized_name,brand_area
1,5.0,奥迪,,audi,http://www.ganji.com/audi/,,7847.0,",aodi,奥迪,audi",,,,531912ec472bd0568ddc05ca43eb71ac.png,,A,1,,,531912ec472bd0568ddc05ca43eb71ac.png?imageView2/1/w/80/h/80/,aodi,Y,,0,B,1,607387,,德系
2,5.0,阿尔法罗密欧,,alfaromeo,http://www.ganji.com/alfaromeo/,,7848.0,",aerfaluomiou,阿尔法罗米欧,alfaromeo",,,,590ae329607ce6a295c3334210514576.png,,A,1,,,590ae329607ce6a295c3334210514576.png?imageView2/1/w/80/h/80/,aerfaluomiou,Y,,0,B,0,0,,欧系
3,5.0,阿斯顿马丁,,astonmartin,http://www.ganji.com/astonmartin/,,7849.0,",asidunmading,阿斯顿马丁,astonmartin",,,,61b76563144100050d0113f33dfde492.png,,A,1,,,61b76563144100050d0113f33dfde492.png?imageView2/1/w/80/h/80/,asidunmading,Y,,0,B,1,0,,欧系
6,5.0,奔驰,,benz,http://www.ganji.com/benz/,,7852.0,",benchi,奔驰,benz",,,,9af2620681581d6eec47907b8823855d.png,,B,1,,,9af2620681581d6eec47907b8823855d.png?imageView2/1/w/80/h/80/,benchi,Y,,0,B,1,404081,,德系
7,5.0,别克,,buick,http://www.ganji.com/buick/,,7853.0,",bieke,别克,buick",,,,c41d3f6bac0a5b4e042ca4235405730c.png,,B,1,,,c41d3f6bac0a5b4e042ca4235405730c.png?imageView2/1/w/80/h/80/,bieke,Y,,0,B,1,376722,,美系
8,5.0,宾利,,bentley,http://www.ganji.com/bentley/,,7854.0,",binli,宾利,bentley",,,,920979ebc9b25626348779cf82d03737.png,,B,1,,,920979ebc9b25626348779cf82d03737.png?imageView2/1/w/80/h/80/,binli,Y,,0,B,1,52692,,德系
9,5.0,宝马,,bmw,http://www.ganji.com/bmw/,,7855.0,",baoma,宝马,bmw",,,,d635e28ad9d8b1325d2ac9b1e7b1c2da.png,,B,1,,,d635e28ad9d8b1325d2ac9b1e7b1c2da.png?imageView2/1/w/80/h/80/,baoma,Y,,0,B,1,537593,,德系
11,5.0,保时捷,,porsche,http://www.ganji.com/porsche/,,7857.0,",baoshijie,保时捷,porsche",,,,fe5b7a1bf20fd7c68b65808c0c3d0161.png,,B,1,,,fe5b7a1bf20fd7c68b65808c0c3d0161.png?imageView2/1/w/80/h/80/,baoshijie,Y,,0,B,1,172421,,德系
12,5.0,本田,,honda,http://www.ganji.com/honda/,,7858.0,",bentian,本田,honda",,,,44b947ba4fd3ad2f950c01194e68bb0e.png,,B,1,,,44b947ba4fd3ad2f950c01194e68bb0e.png?imageView2/1/w/80/h/80/,bentian,Y,,0,B,1,506909,,日系
13,5.0,比亚迪,,byd,http://www.ganji.com/byd/,,7859.0,",biyadi,比亚迪,byd",,,,4272f575b9e2d0de8e3a4588bf5e39dc.png,,B,1,,,1ee5ce2feddc02e037b18972fccfd159.png?imageView2/1/w/80/h/80/,biyadi,Y,,0,B,1,238437,,国产
14,5.0,标致,,biaozhi,http://www.ganji.com/biaozhi/,,7860.0,",biaozhi,标致,biaozhi",,,,19680040c004d2067e3c904f8a15d67e.png,,B,1,,,19680040c004d2067e3c904f8a15d67e.png?imageView2/1/w/80/h/80/,biaozhi,Y,,0,B,1,415634,,法系
15,5.0,宝骏,,baojun,http://www.ganji.com/baojun/,,7861.0,",baojun,宝骏,baojun",,,,3d097ce1bc08d4cbc4227806d6943860.png,,B,1,,,3d097ce1bc08d4cbc4227806d6943860.png?imageView2/1/w/80/h/80/,baojun,Y,,0,B,1,121114,,国产
17,5.0,北京汽车,,beijingqiche,http://www.ganji.com/beijingqiche/,,7863.0,",beijingqiche,北京汽车,beijingqiche",,,,b57d7f388defd481f8c054a992e5eac6.png,,B,1,,,b57d7f388defd481f8c054a992e5eac6.png?imageView2/1/w/80/h/80/,beijingqiche,Y,,0,B,1,0,,国产
18,5.0,布嘉迪,,bujiadi,http://www.ganji.com/bujiadi/,,7864.0,",bujiadi,布嘉迪,bujiadi",,,,4d89cd33a1d5384fa7fed20a8aa142e4.png,,B,1,,,4d89cd33a1d5384fa7fed20a8aa142e4.png?imageView2/1/w/80/h/80/,bujiadi,Y,,0,B,1,0,,德系
19,5.0,长安汽车,,changan,http://www.ganji.com/changan/,,7865.0,",changan,长安,changan",,,,f42de11261c84e00c9f069928bb55525.png,,C,1,,,f42de11261c84e00c9f069928bb55525.png?imageView2/1/w/80/h/80/,changan,Y,,0,B,1,327023,,国产
20,5.0,长城,,changcheng,http://www.ganji.com/changcheng/,,7866.0,",changcheng,长城,changcheng",,,,c76dd341ad4633ab77da57e4e0654285.png,,C,1,,,c76dd341ad4633ab77da57e4e0654285.png?imageView2/1/w/80/h/80/,changcheng,Y,,0,B,1,309120,,国产
21,5.0,昌河,,changhe,http://www.ganji.com/changhe/,,7867.0,",changhe,昌河,changhe",,,,a086bb34a52ec9ad9576e6c554e33ba6.png,,C,1,,,a086bb34a52ec9ad9576e6c554e33ba6.png?imageView2/1/w/80/h/80/,changhe,Y,,0,B,1,0,,国产
22,5.0,长丰猎豹,,liebao,http://www.ganji.com/liebao/,,7868.0,",changfengliebao,长丰猎豹,liebao",,,,47972047ad1cfc2b9bb803c618121bf8.png,,C,1,,,9e27e4b56a8139f3a9f199f77abe829f.png?imageView2/1/w/80/h/80/,changfengliebao,Y,,0,B,1,0,,国产
24,5.0,野马,,chuanqiyema,http://www.ganji.com/chuanqiyema/,,7870.0,",yema,野马,chuanqiyema",,,,b0fc918d5fd722f0c0a5332220779d20.png,,Y,1,,,b0fc918d5fd722f0c0a5332220779d20.png?imageView2/1/w/80/h/80/,yema,Y,,0,B,1,0,,国产
25,5.0,东风,,dongfeng,http://www.ganji.com/dongfeng/,,7871.0,",dongfeng,东风,dongfeng",,,,e6230c2d10f0206b92446c3376f787ec.png,,D,1,,,321ad8dc4b1b92b702c313a64faa0c15.png?imageView2/1/w/80/h/80/,dongfeng,Y,,0,B,1,48306,,国产
26,5.0,大迪,,dadi,http://www.ganji.com/dadi/,,7872.0,",dadi,大迪,dadi",,,,fec760a0297b861a8548548cd1257758.png,,D,1,,,fec760a0297b861a8548548cd1257758.png?imageView2/1/w/80/h/80/,dadi,Y,,0,B,0,0,,国产
27,5.0,大宇,,dayu,http://www.ganji.com/dayu/,,7873.0,",dayu,大宇,dayu",,,,b82c3c37897b556c2023642f72713738.png,,D,1,,,b82c3c37897b556c2023642f72713738.png?imageView2/1/w/80/h/80/,dayu,Y,,0,B,0,0,,韩系
28,5.0,东南,,dongnan,http://www.ganji.com/dongnan/,,7874.0,",dongna,东南,dongnan",,,,54f7985a8f22c3f88024d9eedd252bb2.png,,D,1,,,54f7985a8f22c3f88024d9eedd252bb2.png?imageView2/1/w/80/h/80/,dongna,Y,,0,B,1,0,,国产
