id,province,brand_slug,model_slug,units,popularity
1,北京,audi,audi-a5,630,B
2,上海,audi,audi-a5,1085,A
3,天津,audi,audi-a5,105,B
4,重庆,audi,audi-a5,281,A
5,河北,audi,audi-a5,167,B
6,山西,audi,audi-a5,74,B
7,内蒙古,audi,audi-a5,92,B
8,辽宁,audi,audi-a5,261,B
9,吉林,audi,audi-a5,76,B
10,黑龙江,audi,audi-a5,80,B
11,江苏,audi,audi-a5,1016,B
12,浙江,audi,audi-a5,3355,A
13,安徽,audi,audi-a5,189,B
14,福建,audi,audi-a5,949,B
15,江西,audi,audi-a5,71,B
16,山东,audi,audi-a5,371,B
17,河南,audi,audi-a5,254,B
18,湖北,audi,audi-a5,157,B
19,湖南,audi,audi-a5,106,B
20,广东,audi,audi-a5,846,B
21,广西,audi,audi-a5,151,B
22,海南,audi,audi-a5,14,B
23,四川,audi,audi-a5,651,B
24,贵州,audi,audi-a5,107,B
25,云南,audi,audi-a5,266,B
26,西藏,audi,audi-a5,0,C
27,陕西,audi,audi-a5,206,B
28,甘肃,audi,audi-a5,39,B
29,宁夏,audi,audi-a5,24,B
30,青海,audi,audi-a5,10,B
31,新疆,audi,audi-a5,69,B
32,香港,audi,audi-a5,0,C
33,澳门,audi,audi-a5,0,C
34,台湾,audi,audi-a5,0,C
35,北京,audi,audi-a6,1031,A
36,上海,audi,audi-a6,2670,A
37,天津,audi,audi-a6,179,A
38,重庆,audi,audi-a6,167,B
39,河北,audi,audi-a6,992,A
40,山西,audi,audi-a6,295,A
41,内蒙古,audi,audi-a6,476,A
42,辽宁,audi,audi-a6,2075,A
43,吉林,audi,audi-a6,786,A
44,黑龙江,audi,audi-a6,1211,A
45,江苏,audi,audi-a6,1057,A
46,浙江,audi,audi-a6,1451,B
47,安徽,audi,audi-a6,268,A
48,福建,audi,audi-a6,479,B
49,江西,audi,audi-a6,116,B
50,山东,audi,audi-a6,1345,A
51,河南,audi,audi-a6,504,B
52,湖北,audi,audi-a6,259,B
53,湖南,audi,audi-a6,411,A
54,广东,audi,audi-a6,783,B
55,广西,audi,audi-a6,179,B
56,海南,audi,audi-a6,35,B
57,四川,audi,audi-a6,360,B
58,贵州,audi,audi-a6,110,B
59,云南,audi,audi-a6,376,A
60,西藏,audi,audi-a6,4,B
61,陕西,audi,audi-a6,180,B
62,甘肃,audi,audi-a6,157,A
63,宁夏,audi,audi-a6,51,B
64,青海,audi,audi-a6,57,A
65,新疆,audi,audi-a6,148,A
66,香港,audi,audi-a6,0,C
67,澳门,audi,audi-a6,0,C
68,台湾,audi,audi-a6,0,C
69,北京,audi,audi-q7,1499,A
70,上海,audi,audi-q7,918,A
71,天津,audi,audi-q7,235,A
72,重庆,audi,audi-q7,287,A
73,河北,audi,audi-q7,491,A
74,山西,audi,audi-q7,340,A
75,内蒙古,audi,audi-q7,245,A
76,辽宁,audi,audi-q7,899,A
77,吉林,audi,audi-q7,346,A
78,黑龙江,audi,audi-q7,497,A
79,江苏,audi,audi-q7,781,B
80,浙江,audi,audi-q7,2331,A
81,安徽,audi,audi-q7,265,B
82,福建,audi,audi-q7,661,B
83,江西,audi,audi-q7,135,B
84,山东,audi,audi-q7,924,A
85,河南,audi,audi-q7,616,A
86,湖北,audi,audi-q7,417,A
87,湖南,audi,audi-q7,298,B
88,广东,audi,audi-q7,1119,A
89,广西,audi,audi-q7,266,B
90,海南,audi,audi-q7,42,B
91,四川,audi,audi-q7,728,A
92,贵州,audi,audi-q7,191,A
93,云南,audi,audi-q7,424,A
94,西藏,audi,audi-q7,24,A
95,陕西,audi,audi-q7,511,A
96,甘肃,audi,audi-q7,110,A
97,宁夏,audi,audi-q7,87,A
98,青海,audi,audi-q7,44,A
99,新疆,audi,audi-q7,199,A
100,香港,audi,audi-q7,2,A
101,澳门,audi,audi-q7,0,C
102,台湾,audi,audi-q7,0,C
103,北京,audi,audi-r8,174,B
104,上海,audi,audi-r8,187,B
105,天津,audi,audi-r8,16,B
106,重庆,audi,audi-r8,20,B
107,河北,audi,audi-r8,17,B
108,山西,audi,audi-r8,13,B
109,内蒙古,audi,audi-r8,10,B
110,辽宁,audi,audi-r8,94,B
111,吉林,audi,audi-r8,15,B
112,黑龙江,audi,audi-r8,12,B
113,江苏,audi,audi-r8,131,B
114,浙江,audi,audi-r8,525,B
115,安徽,audi,audi-r8,11,B
116,福建,audi,audi-r8,69,B
117,江西,audi,audi-r8,10,B
118,山东,audi,audi-r8,44,B
119,河南,audi,audi-r8,11,C
120,湖北,audi,audi-r8,23,B
121,湖南,audi,audi-r8,21,B
122,广东,audi,audi-r8,154,B
123,广西,audi,audi-r8,10,B
124,海南,audi,audi-r8,2,B
125,四川,audi,audi-r8,45,B
126,贵州,audi,audi-r8,8,B
127,云南,audi,audi-r8,34,B
128,西藏,audi,audi-r8,1,B
129,陕西,audi,audi-r8,5,C
130,甘肃,audi,audi-r8,4,B
131,宁夏,audi,audi-r8,2,B
132,青海,audi,audi-r8,2,B
133,新疆,audi,audi-r8,3,B
134,香港,audi,audi-r8,0,C
135,澳门,audi,audi-r8,0,C
136,台湾,audi,audi-r8,0,C
137,北京,audi,audi-s5,128,B
138,上海,audi,audi-s5,131,B
139,天津,audi,audi-s5,4,B
140,重庆,audi,audi-s5,27,B
141,河北,audi,audi-s5,3,C
142,山西,audi,audi-s5,6,B
143,内蒙古,audi,audi-s5,5,C
144,辽宁,audi,audi-s5,31,B
145,吉林,audi,audi-s5,5,C
146,黑龙江,audi,audi-s5,3,C
147,江苏,audi,audi-s5,95,B
148,浙江,audi,audi-s5,507,B
149,安徽,audi,audi-s5,10,B
150,福建,audi,audi-s5,34,B
151,江西,audi,audi-s5,2,C
152,山东,audi,audi-s5,8,C
153,河南,audi,audi-s5,21,B
154,湖北,audi,audi-s5,11,B
155,湖南,audi,audi-s5,9,B
156,广东,audi,audi-s5,133,B
157,广西,audi,audi-s5,4,C
158,海南,audi,audi-s5,1,C
159,四川,audi,audi-s5,71,B
160,贵州,audi,audi-s5,4,B
161,云南,audi,audi-s5,22,B
162,西藏,audi,audi-s5,0,C
163,陕西,audi,audi-s5,7,C
164,甘肃,audi,audi-s5,4,B
165,宁夏,audi,audi-s5,1,C
166,青海,audi,audi-s5,0,C
167,新疆,audi,audi-s5,0,C
168,香港,audi,audi-s5,0,C
169,澳门,audi,audi-s5,0,C
170,台湾,audi,audi-s5,0,C
171,北京,audi,audi-s8,36,B
172,上海,audi,audi-s8,25,B
173,天津,audi,audi-s8,4,B
174,重庆,audi,audi-s8,8,B
175,河北,audi,audi-s8,16,B
176,山西,audi,audi-s8,0,C
177,内蒙古,audi,audi-s8,1,C
178,辽宁,audi,audi-s8,8,C
179,吉林,audi,audi-s8,3,C
180,黑龙江,audi,audi-s8,4,C
181,江苏,audi,audi-s8,13,C
182,浙江,audi,audi-s8,17,C
183,安徽,audi,audi-s8,4,C
184,福建,audi,audi-s8,11,C
185,江西,audi,audi-s8,3,C
186,山东,audi,audi-s8,3,C
